"Modifications"	"Proteins"	"Intensity QC02_210326"	"Intensity QC02_210331"	"Intensity QC02_210402"	"Intensity QC02_210406"	"Intensity QC02_210410"	"Intensity QC02_210411"	"Experiment QC02_210326"	"Experiment QC02_210331"	"Experiment QC02_210402"	"Experiment QC02_210406"	"Experiment QC02_210410"	"Experiment QC02_210411"	"Potential contaminant"	"Reverse"
"Unmodified"	"Q8WWV3"	0	1045800	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"P13489"	16480000	18800000	16133000	31226000	21288000	32817000	1	1	1	1	1	1	NA	NA
"Oxidation (M)"	"P14625"	10180000	12048000	8752700	17159000	10262000	12956000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9NYT0"	1116000	1411400	0	0	1780200	1686800	1	1	NA	NA	1	1	NA	NA
"Unmodified"	"Q66K14"	666740	0	0	1297100	0	1402100	1	NA	NA	1	NA	1	NA	NA
"Unmodified"	"Q15397"	3203000	0	2758400	6281100	0	5004300	1	NA	1	1	NA	1	NA	NA
"Unmodified"	"Q5JRA6"	0	0	1548600	5294200	2423900	5137500	NA	NA	1	1	1	1	NA	NA
"Unmodified"	"P23634;P20020;Q01814;Q16720"	3166700	4497500	1699500	0	1457000	3351000	1	1	1	NA	1	1	NA	NA
"Oxidation (M)"	"P26641"	456550	433400	311800	0	5538000	3060400	1	1	1	NA	1	1	NA	NA
"Unmodified"	"P07237"	147810000	160830000	136110000	399650000	294680000	329030000	2	2	2	2	2	2	NA	NA
"Unmodified"	"Q7KZI7"	0	1386700	1391900	1173400	2871300	3345800	NA	1	1	1	1	1	NA	NA
"Unmodified"	"Q9UBP6"	0	440790	285820	1813900	0	0	NA	1	1	1	NA	NA	NA	NA
"Unmodified"	"Q8TAQ2;Q92922"	5544900	16817000	15274000	15376000	0	11201000	1	2	2	1	1	1	NA	NA
"Unmodified"	"P49327"	30885000	33733000	27976000	83484000	50118000	65065000	1	1	1	2	1	1	NA	NA
"Unmodified"	"Q9UFN0"	1113200	1498400	986260	4291200	0	3171900	2	1	2	2	NA	2	NA	NA
"Unmodified"	"P12081"	19843000	18627000	2182700	4844900	0	3222300	2	1	2	1	NA	1	NA	NA
"Unmodified"	"P04075"	66569000	62190000	9452300	30503000	19639000	49437000	3	3	2	3	3	3	NA	NA
"Unmodified"	"P08195"	100450000	118270000	101220000	205490000	154730000	198280000	1	1	1	1	2	1	NA	NA
"Unmodified"	"Q5T8D3"	1754900	0	0	4574000	0	2869000	1	NA	NA	1	1	1	NA	NA
"Unmodified"	"Q13185"	14923000	20411000	18375000	34652000	23778000	30915000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q6P2Q9"	5541300	10781000	5384500	16842000	19858000	14670000	2	2	2	2	1	2	NA	NA
"Unmodified"	"Q5T8I3"	1829400	1617700	1745400	4516300	0	3797200	1	1	1	1	NA	1	NA	NA
"Unmodified"	"P08240"	5336800	7213200	0	14152000	9568500	12388000	1	1	NA	1	1	1	NA	NA
"Unmodified"	"P68371;Q3ZCM7"	224080000	315700000	253060000	568650000	446500000	540420000	2	2	2	3	2	2	NA	NA
"Unmodified"	"P20810"	2540800	2794200	2050000	3498500	3588100	6526700	1	1	1	1	1	1	NA	NA
"Acetyl (Protein N-term)"	"Q96E14"	0	0	2246100	2844600	2790600	3318300	NA	NA	1	1	1	1	NA	NA
"Unmodified"	"Q9NZB2"	6597500	9370400	1631900	3581300	3117500	7934400	2	2	2	1	2	2	NA	NA
"Oxidation (M)"	"Q8IZS8"	2259700	0	2389200	6337200	0	4253100	1	NA	1	1	NA	1	NA	NA
"Unmodified"	"Q9BVP2"	26861000	37960000	22757000	64442000	37644000	60370000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9Y678"	5941900	376100	0	16325000	0	13058000	1	1	NA	1	NA	1	NA	NA
"Unmodified"	"P40939"	0	0	14304000	38787000	22723000	33994000	NA	NA	1	1	1	1	NA	NA
"Unmodified"	"Q99627"	8968200	10251000	9322600	22883000	36677000	20780000	2	2	2	2	2	2	NA	NA
"Unmodified"	"Q13303;Q14722"	1790100	4056500	0	0	3135900	3512900	1	1	NA	NA	1	1	NA	NA
"Unmodified"	"P48634"	0	3337400	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"P12081;P49590"	3636800	4708300	1212900	0	7330300	0	1	1	1	NA	1	NA	NA	NA
"Oxidation (M)"	"P62333"	1894300	0	1867400	0	0	4340600	1	NA	1	NA	NA	1	NA	NA
"Oxidation (M)"	"A0A2R8Y4L2"	6325700	14141000	14995000	24253000	47863000	22415000	1	2	2	2	2	2	NA	NA
"Unmodified"	"CON__Q3KUS7"	30252000	31375000	0	61749000	35950000	43982000	1	1	NA	1	1	1	"+"	NA
"Unmodified"	"Q14966"	1584500	1914100	1780200	4055700	0	3089700	1	1	1	1	NA	1	NA	NA
"Unmodified"	"P07814"	0	0	0	0	2187700	0	NA	NA	NA	NA	1	NA	NA	NA
"Unmodified"	"Q9NVR2"	68087000	89147000	338460	143140000	0	148090000	1	1	1	1	NA	1	NA	NA
"Unmodified"	"Q9UKN8"	1700500	2151300	2087900	2906500	0	3380000	1	1	1	1	NA	1	NA	NA
"Unmodified"	"P54886"	0	0	0	0	2305400	0	NA	NA	NA	NA	1	NA	NA	NA
"Unmodified"	"O75717"	2819000	2976800	2308200	5835400	3773600	6379800	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q09666"	22781000	29980000	26806000	60336000	46219000	57067000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9BTT0"	11197000	16214000	13032000	18862000	14634000	19507000	1	1	1	1	1	1	NA	NA
"Oxidation (M)"	"P31327"	12925000	0	10315000	31679000	18511000	25222000	2	NA	2	2	2	2	NA	NA
"Oxidation (M)"	"CON__Q2UVX4"	4111700	4273900	1339400	7023900	18835000	11806000	2	2	1	2	3	3	"+"	NA
"Unmodified"	"Q6UXN9"	6952200	0	0	14685000	10482000	13963000	2	NA	NA	1	1	1	NA	NA
"Unmodified"	"P49915"	8599700	13279000	10148000	18048000	0	22046000	1	1	1	1	NA	1	NA	NA
"Unmodified"	"P14923"	1606500	2658800	1581700	5684700	8706100	4080900	1	1	1	1	2	1	NA	NA
"Unmodified"	"Q9H2P0"	2579900	0	2731000	6874900	4866600	5713300	1	NA	1	1	1	1	NA	NA
"Unmodified"	"Q8NBS9"	30624000	0	37299000	76924000	54422000	65848000	1	NA	2	2	2	2	NA	NA
"Unmodified"	"P61158"	11500000	14538000	11868000	24880000	0	0	1	1	1	1	NA	NA	NA	NA
"Oxidation (M)"	"Q00610"	7389600	8816300	2353000	8988200	10269000	19771000	1	1	1	1	2	2	NA	NA
"Unmodified"	"P35241"	0	7900800	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"Q9NZJ7"	0	2277500	0	0	0	0	NA	1	NA	NA	NA	NA	NA	NA
"Unmodified"	"Q9BUH6"	3642000	5068300	0	0	0	1338000	1	1	NA	NA	NA	1	NA	NA
"Unmodified"	"Q5VYK3"	1337300	2039100	1089700	4201400	2625900	3220300	1	1	1	1	1	1	NA	NA
"Unmodified"	"P19525"	0	0	5249200	0	0	0	NA	NA	1	NA	1	NA	NA	NA
"Unmodified"	"Q15714"	11340000	17089000	14752000	29470000	16502000	23324000	1	1	1	1	1	1	NA	NA
"Unmodified"	"P60891"	8282300	8382400	7567800	13338000	8088400	14212000	1	1	1	1	1	1	NA	NA
"Unmodified"	"Q9UNX4"	2168700	1884600	0	2596900	2128700	4676600	2	1	NA	1	1	2	NA	NA
"Oxidation (M)"	"CON__ENSEMBL:ENSBTAP00000007350;CON__P01030"	1257900	1292600	1212800	0	0	0	1	1	1	NA	NA	1	"+"	NA
"Unmodified"	"Q6NZY4"	2266900	4033200	0	5861800	0	3725100	1	1	NA	1	NA	1	NA	NA
"Unmodified"	"P06744"	61285000	72550000	77520000	149570000	235690000	119170000	3	2	3	4	2	2	NA	NA
"Unmodified"	"Q10472"	5955000	0	5980800	11575000	7170600	0	1	NA	1	1	1	NA	NA	NA
"Unmodified"	"O96008"	0	6026300	3298400	5281800	36330000	22343000	NA	1	1	1	1	1	NA	NA
"Unmodified"	"Q13057"	0	2617300	6262700	0	0	0	NA	1	1	NA	NA	NA	NA	NA
"Unmodified"	"Q7L2H7"	4057700	0	0	6229200	0	0	1	NA	1	1	NA	1	NA	NA
