"Experiment"	"Retention time"	"Total ion current"	"Reverse"
"HEK_201204"	67.217	1575200	"+"
"III12_210129"	32.249	37932000	"+"
"HEK_210201"	118.88	278580	NA
"HEK_210201"	15.407	6496000	NA
"HEK_210201"	147.79	10873	NA
"III23_210201"	111.36	518720	NA
"III23_18compl_210129"	75.26	1389400	NA
"HEK_210201"	115.29	4173500	NA
"III23_210201"	36.203	27280000	NA
"HEK_210201"	95.455	3992000	NA
"VIII27_210129"	89.7	713940	"+"
"HEK_210201"	44.853	7248700	NA
"HEK_210203"	47.315	3893500	NA
"III23_210201"	30.868	7462300	NA
"HEK_201204"	29.582	1970900	"+"
"III23_210201"	78.108	8990100	NA
"HEK_201204"	23.1	2263400	NA
"VIII27_210129"	61.029	1335900	NA
"III23_210129"	88.853	1491200	NA
"HEK_210201"	110.94	841770	NA
"III23_210201"	106.44	8327200	NA
"III23_210129"	19.264	211640	NA
"HEK_201204"	79.228	3753400	"+"
"III23_18compl_210129"	130.56	90228	NA
"VIII27_210129"	95	236790	NA
"III23_210129"	29.467	1961100	"+"
"HEK_210203"	83.466	5845800	NA
"VIII27_210129"	108.61	5998100	NA
"HEK_201204"	81.836	2006000	NA
"HEK_210201"	55.839	2876900	NA
"VIII27_210129"	104.05	45765	"+"
"HEK_210201"	49.84	719690	NA
"III12_210129"	22.076	621230	NA
"HEK_201204"	91.966	2174900	NA
"HEK_210201"	45.424	18190000	NA
"III23_18compl_210129"	137.76	27884	"+"
"HEK_210201"	137.01	101600	NA
"HEK_210203"	22.124	1838700	NA
"HEK_210203"	39.951	2719700	NA
"VIII27_210129"	44.082	3492700	NA
"VIII27_210129"	135.45	240570	NA
"HEK_201204"	129.67	363750	NA
"HEK_210203"	65.263	2975400	NA
"III23_18compl_210129"	69.004	9047800	NA
"HEK_210203"	29.23	1304400	NA
"III23_210201"	60.204	5984000	NA
"III12_210129"	89.99	2114800	NA
"III23_210129"	103.13	1834300	"+"
"III12_210129"	30.495	4447800	"+"
"III12_210129"	78.038	3263900	NA
"HEK_201204"	91.007	36438000	NA
"HEK_201204"	89.368	7643600	NA
"III23_18compl_210129"	87.194	2960700	NA
"III23_18compl_210129"	94.995	2750800	NA
"III12_210129"	103.34	558960	NA
"VIII27_210129"	82.427	2309500	NA
"HEK_201204"	43.231	21002000	NA
"III12_210129"	129.5	434170	NA
"III23_210201"	89.617	11367000	NA
"HEK_210203"	95.226	5868800	"+"
"HEK_210201"	69.169	7889700	NA
"HEK_210201"	112.55	3335100	NA
"HEK_201204"	92.734	4166200	NA
"HEK_210203"	61.964	12658000	NA
"III23_18compl_210129"	115.19	3649700	"+"
"HEK_210201"	47.252	3389600	NA
"VIII27_210129"	122.49	6523500	NA
"HEK_210201"	99.452	2017700	NA
"III12_210129"	19.584	291120	"+"
"III23_210201"	61.101	133560	"+"
"III23_210129"	134.74	223020	NA
"III23_18compl_210129"	66.021	3981300	NA
"VIII27_210129"	85.546	896040	"+"
"HEK_210203"	63.312	1398700	NA
"VIII27_210129"	55.949	20074000	"+"
"III12_210129"	117.66	449300	NA
"VIII27_210129"	26.967	13079000	"+"
