"Experiment"	"Retention time"	"Cycle time"	"MS/MS count"
"III23_210201"	16.698	2.4802	36
"HEK_210203"	136.25	0.34698	1
"III23_210129"	143.53	0.33325	0
"III23_210129"	5.7439	0.32312	0
"III23_210201"	146.53	0.36438	1
"HEK_210201"	32.378	2.119	36
"HEK_201204"	142.79	0.33234	0
"III12_210129"	123.94	6.8852	109
"III23_210129"	11.429	0.41897	2
"VIII27_210129"	2.6339	0.42202	2
"III12_210129"	143.07	0.4303	2
"HEK_210203"	14.803	0.48042	3
"HEK_201204"	2.5821	0.32285	0
"HEK_210201"	14.059	0.31986	0
"HEK_201204"	111.14	2.8253	43
"III23_18compl_210129"	51.786	1.9762	36
"III23_18compl_210129"	1.7732	0.32517	0
"HEK_210203"	149.46	0.32501	0
"VIII27_210129"	61.362	6.0736	106
"III23_18compl_210129"	145.85	0.32684	0
"III23_18compl_210129"	36.097	2.0448	38
"VIII27_210129"	9.7392	0.3285	0
"HEK_210203"	8.0253	0.32564	0
"III23_210129"	9.8093	0.32759	0
"HEK_210201"	42.379	2.0359	38
"HEK_210201"	8.9481	0.36089	1
"HEK_210201"	145.95	0.32684	0
"III23_210129"	143.67	0.36987	1
"III12_210129"	13.042	0.67898	7
"HEK_210203"	42.527	1.9679	36
"III23_210201"	12.556	0.31963	0
"III12_210129"	7.6796	0.3239	0
"III12_210129"	14.549	0.41908	2
"III23_210201"	13.555	0.32112	0
"VIII27_210129"	12.312	0.32003	0
"III23_210129"	8.2599	0.32484	0
"HEK_210203"	35.104	2.1359	40
"HEK_210201"	9.9985	0.3277	0
"III23_210201"	43.64	2.0599	38
"III23_210201"	1.1238	0.32521	0
"HEK_210203"	141.7	0.36713	1
"HEK_201204"	9.2583	0.32667	0
"HEK_201204"	45.587	2.1357	40
"HEK_210203"	0.80781	0.32467	0
"III23_210201"	9.6332	0.37319	1
"III23_210129"	7.5345	0.36807	1
"III12_210129"	124.27	6.6129	100
"HEK_210203"	5.6815	0.36764	1
"HEK_210201"	14.824	0.66164	6
"VIII27_210129"	118.79	6.7232	104
"III23_210201"	1.0717	0.36911	1
"VIII27_210129"	19.094	6.8139	109
"HEK_210201"	67.482	1.9789	36
"III23_210201"	144.84	0.33142	0
"III23_210129"	90.095	2.0238	36
"HEK_210201"	13.451	0.31986	0
"III12_210129"	148.16	0.3241	0
"III23_18compl_210129"	4.8972	0.36947	1
"III23_18compl_210129"	143.73	0.37903	1
"VIII27_210129"	143.16	0.33325	0
"III23_210129"	16.057	0.60665	5
"HEK_201204"	147.47	0.32501	0
"HEK_201204"	5.3006	0.36006	1
"III23_210129"	12.756	0.36386	1
"III12_210129"	7.3021	0.32395	0
"III23_18compl_210129"	5.4685	0.36833	1
"III23_210201"	14.281	0.36489	1
"HEK_201204"	11.973	0.45416	3
"III12_210129"	145.54	0.32593	0
"III23_210129"	147.01	0.32593	0
"III12_210129"	135.19	1.8997	26
"HEK_210201"	0.58936	0.36905	1
"HEK_210201"	6.1473	0.36736	1
"HEK_201204"	58.633	2.0398	36
"HEK_201204"	10.478	0.32799	0
"HEK_210203"	74.466	6.3286	103
"VIII27_210129"	134.42	6.7374	102
"III23_18compl_210129"	4.0722	0.36781	1
"III23_210129"	110.57	6.888	116
"VIII27_210129"	7.4018	0.32395	0
"HEK_210203"	11.926	0.32026	0
"III23_210129"	148.11	0.36987	1
"VIII27_210129"	45.892	2.1261	38
"III23_210129"	148.8	0.42389	2
"III23_18compl_210129"	143.96	0.336	0
"III23_18compl_210129"	38.556	2.1053	38
"III12_210129"	140.25	0.31952	0
"HEK_210203"	136.38	0.66559	6
"HEK_210203"	90.327	6.4687	109
"HEK_210203"	58.078	2.0311	36
"HEK_201204"	138.33	0.47974	3
"HEK_210201"	4.9119	0.36801	1
"HEK_201204"	136.52	0.72601	7
"HEK_210201"	2.7853	0.32425	0
"HEK_210203"	148.28	0.36163	1
"III12_210129"	8.2052	0.32495	0
"III23_18compl_210129"	143.04	0.33508	0
"HEK_210201"	146.57	0.32684	0
"HEK_210201"	8.4242	0.32393	0
"VIII27_210129"	138.58	0.41931	2
"III23_18compl_210129"	141.22	0.54199	4
"III23_18compl_210129"	148.86	0.32684	0
"HEK_210203"	18.964	6.8692	114
"HEK_210203"	5.0502	0.36784	1
"HEK_210203"	139.83	0.31952	0
"III23_210129"	31.198	2.1091	38
"III12_210129"	9.0134	0.36924	1
"HEK_201204"	107.42	6.9333	114
"III23_210201"	64.134	6.4265	108
"III23_18compl_210129"	14.169	0.36398	1
"III23_210129"	87.652	2.1359	38
"VIII27_210129"	144.52	0.33234	0
"HEK_210201"	148.95	0.32501	0
"HEK_201204"	137.42	0.41656	2
"III23_18compl_210129"	142	0.54291	4
"III23_18compl_210129"	5.8283	0.32627	0
"III12_210129"	140.98	0.35706	1
"HEK_210203"	57.764	2.0865	38
"HEK_210201"	33.645	5.7509	105
"III23_18compl_210129"	146.65	0.32593	0
"VIII27_210129"	145.34	0.3717	1
"VIII27_210129"	4.0784	0.36673	1
"III12_210129"	9.7721	0.32873	0
"HEK_210201"	4.3119	0.36819	1
"HEK_210203"	138.06	0.32043	0
"HEK_210203"	1.5319	0.36872	1
"HEK_210203"	15.389	0.47482	3
"HEK_210203"	15.301	0.41965	2
"HEK_210201"	5.4983	0.32435	0
